Aire, Base, Hauteur, Abscisse de la hauteur, Abscisse du point de premier découpage, Ordonnée du point de premier découpage, Aire du premier découpage, Abscisse du point de deuxième découpage, Ordonnée du point de deuxième découpage, Aire du deuxième découpage, Abscisse du croisement, Ordonnée du croisement, Aire du triangle sous le croisement, Aire du triangle à gauche du croisement, Aire du triangle à droite du croisement, Aire du quadrilatère au dessus du croisement
6,=12,=1,=-12,=-3,=1/4,=3/2,=4,=1/3,=2,=2,=1/6,=1,=1/2,=1,=7/2
6,=12,=1,=-12,=-4,=1/3,=2,=6,=1/4,=3/2,=4,=1/6,=1,=1,=1/2,=7/2
6,=12,=1,=-12,=-6,=1/2,=3,=0,=1/2,=3,=0,=1/3,=2,=1,=1,=2
6,=12,=1,=-23/2,=-23/8,=1/4,=3/2,=25/6,=1/3,=2,=25/12,=1/6,=1,=1/2,=1,=7/2
6,=12,=1,=-23/2,=-23/6,=1/3,=2,=49/8,=1/4,=3/2,=49/12,=1/6,=1,=1,=1/2,=7/2
6,=12,=1,=-23/2,=-23/4,=1/2,=3,=1/4,=1/2,=3,=1/6,=1/3,=2,=1,=1,=2
6,=12,=1,=-11,=-11/4,=1/4,=3/2,=13/3,=1/3,=2,=13/6,=1/6,=1,=1/2,=1,=7/2
6,=12,=1,=-11,=-11/3,=1/3,=2,=25/4,=1/4,=3/2,=25/6,=1/6,=1,=1,=1/2,=7/2
6,=12,=1,=-11,=-11/2,=1/2,=3,=1/2,=1/2,=3,=1/3,=1/3,=2,=1,=1,=2
6,=12,=1,=-21/2,=-21/8,=1/4,=3/2,=9/2,=1/3,=2,=9/4,=1/6,=1,=1/2,=1,=7/2
6,=12,=1,=-21/2,=-7/2,=1/3,=2,=51/8,=1/4,=3/2,=17/4,=1/6,=1,=1,=1/2,=7/2
6,=12,=1,=-21/2,=-21/4,=1/2,=3,=3/4,=1/2,=3,=1/2,=1/3,=2,=1,=1,=2
6,=12,=1,=-10,=-5/2,=1/4,=3/2,=14/3,=1/3,=2,=7/3,=1/6,=1,=1/2,=1,=7/2
6,=12,=1,=-10,=-10/3,=1/3,=2,=13/2,=1/4,=3/2,=13/3,=1/6,=1,=1,=1/2,=7/2
